Account,symbol,barinterval,Intervaltype,strategy,dd/MM/yyyy,hh:mm:ss,contracts*marketpos,open,S,HL,ST,C,Z,STO,LSTM,LSTT,HMM,LAP,RL,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1

U1430991,USD.CHF,4,1,Phantom_Sum_3_S_HL_ST_C_ZZ_STO,28/02/2019,03:00:00,-30000,0.99588,0,1,-1,-1,-1,-1,0,0,0,1,-1,1,1,1,1,1,1,-303,0,-216,-16,-116,-114,-270,0,-92,-27,-176,-27,0,0,0,0,0,0,282,0,413,0,301,0,518,145,197,0,571,0
U1431012,AUD.CHF,4,1,Phantom_Sum_S_HL_ST_C_ZZ,28/02/2019,03:00:00,40000,0.71101,-1,-1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,-250,-46,-411,0,-208,-134,-4,-134,-84,0,-82,-44,0,0,0,0,0,0,184,0,138,89,118,0,0,0,200,59,195,0
U1419799,GBP.CAD,4,1,Phantom_Sum_3_S_HL_ST_C_ZZ_STO,28/02/2019,03:00:00,0,1.75176,0,0,1,1,0,0,0,0,0,-1,-1,1,1,1,1,1,1,-4,0,-198,-557,-257,0,-181,0,-4,0,-329,0,0,0,1,1,1,0,52,0,188,0,188,293,77,293,0,234,56,0
U1430991,AUD.CAD,4,1,Phantom_Sum_S_HL_ST_C_ZZ,28/02/2019,03:00:00,-40000,0.94013,0,-1,0,1,0,0,0,0,0,-1,-1,0,1,1,1,1,0,-293,0,-256,-175,-112,0,-229,-113,-4,0,-447,0,0,0,0,0,0,0,451,0,321,0,436,0,268,0,116,0,144,64
U1431012,AUD.CHF,4,1,Phantom_Sum_S_HL_ST_C_ZZ,01/03/2019,07:00:00,20000,0.70875,-1,-1,1,1,1,0,0,0,0,1,-1,1,0,0,1,1,1,-250,-15,-411,0,-208,-124,-4,-124,-84,0,-82,-68,0,0,0,0,0,0,184,0,138,120,118,0,0,0,200,69,195,0
U1431022,CHF.JPY,4,1,Phantom_Sum_3_S_HL_ST_C_ZZ_STO,01/03/2019,07:00:00,15000,111.91000,1,1,1,0,1,-1,0,0,0,-1,-1,0,0,0,0,1,1,-385,0,-386,0,-471,-30,-432,-109,-394,0,-375,-71,0,0,0,0,0,0,554,245,516,245,542,0,340,0,325,245,342,0
U1419799,EUR.JPY,4,1,Phantom_Sum_S_HL_ST_C_ZZ,01/03/2019,07:00:00,-24000,126.97000,-1,0,1,-1,0,-1,0,0,0,-1,-1,1,0,1,1,1,1,-4,-249,-705,0,-230,-62,-276,-249,-277,-134,-366,-241,0,0,0,0,0,0,0,0,177,0,263,0,751,0,621,0,174,0
U1431022,AUD.JPY,4,1,Phantom_Sum_S_HL_ST_C_ZZ,01/03/2019,07:00:00,-40000,79.31000,1,-1,-1,-1,0,0,0,0,0,-1,-1,1,1,0,1,1,0,-271,-71,-384,-210,-589,-38,-250,-198,-423,0,-487,-124,0,0,0,0,0,0,582,0,325,0,408,0,230,0,350,0,141,0
U1419799,GBP.USD,4,1,Phantom_Sum_3_S_HL_ST_C_ZZ_STO,01/03/2019,07:00:00,20000,1.32643,0,1,1,0,-1,-1,0,0,0,1,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,-100,0,-157,0,0,0,1,1,0,0,1,0,0,0,377,0,220,0,0,0,0,0,29
U1419799,GBP.CAD,4,1,Phantom_Sum_3_S_HL_ST_C_ZZ_STO,01/03/2019,07:00:00,20000,1.74612,0,0,1,1,0,0,0,0,0,1,-1,1,1,1,1,1,1,-4,0,-198,-538,-257,0,-181,0,-4,0,-329,0,0,0,1,1,1,0,52,0,188,0,188,215,77,215,0,214,56,0
